grid_id,timestamp,real_time_population,real_time_population_growth,traffic_congestion,transit_change,real_time_temp,real_time_rain,event_flag,holiday_flag
5*0*3*5*,2026-04-07 01:43:20.859169,1977.000876927882,0.0,0.0,0.0,0.018232020504904682,0.0,0,0
5*0*4*9*,2026-04-07 01:43:20.230072,8303.916135749952,0.0,0.0,0.0,0.18200857849625549,0.0,0,0
5*0*5*5*,2026-04-07 01:43:21.382490,6102.326050149155,0.0,0.0,0.0,0.05704428072239018,0.0,0,0
5*0*8*7*,2026-04-07 01:43:21.206906,8462.735641471778,0.0,0.0,0.0,0.033174961663864994,0.0,0,0
5*0*8*8*,2026-04-07 01:43:20.859169,782.8879514860613,0.0,0.0,0.0,0.007219839581819958,0.0,0,0
5*0*9*1*,2026-04-07 01:43:21.206906,59.275464327814205,0.0,0.0,0.0,0.00023236709026409338,0.0,0,0
5*0*9*3*,2026-04-07 01:43:20.503509,400980.40994596324,0.0,0.0,0.0,0.36051043640212826,0.0,0,0
5*0*9*3*,2026-04-07 01:43:21.788199,143863.4499037779,0.0,0.0,0.0,1.2095907130307235,0.0,0,0
5*1*0*6*,2026-04-07 01:43:20.072371,262480.7311164942,0.0,0.0,0.0,0.6860554278444675,0.0,0,0
5*1*1*2*,2026-04-07 01:43:20.230072,21818.597673967135,0.0,0.0,0.0,0.478228811864297,0.0,0,0
5*1*2*4*,2026-04-07 01:43:20.230072,686.331468506784,0.0,0.0,0.0,0.015043289565795396,0.0,0,0
5*1*2*8*,2026-04-07 01:43:20.503509,4401.895455519978,0.0,0.0,0.0,0.003957622897038561,0.0,0,0
5*1*3*9*,2026-04-07 01:43:22.162413,5192.882135759555,0.0,0.0,0.0,0.1324280004321967,0.0,0,0
5*1*5*8*,2026-04-07 01:43:20.230072,13286.469124472755,0.0,0.0,0.0,0.2912181817647023,0.0,0,0
5*1*7*2*,2026-04-07 01:43:20.230072,256.6754319397056,0.0,0.0,0.0,0.005625915500414553,0.0,0,0
5*1*7*2*,2026-04-07 01:43:20.503509,51.218638560345596,0.0,0.0,0.0,4.6049266451200004e-05,0.0,0,0
5*1*7*3*,2026-04-07 01:43:21.206906,576.9019028184528,0.0,0.0,0.0,0.0022615262157101327,0.0,0,0
5*1*8*4*,2026-04-07 01:43:20.072371,15519.268883505816,0.0,0.0,0.0,0.04056327719150374,0.0,0,0
5*1*8*7*,2026-04-07 01:43:20.859169,1229.3890389211833,0.0,0.0,0.0,0.011337499354550721,0.0,0,0
5*2*3*1*,2026-04-07 01:43:21.206906,15.852740459766665,0.0,0.0,0.0,6.214468693110417e-05,0.0,0,0
5*2*3*6*,2026-04-07 01:43:21.382490,241.44158671287897,0.0,0.0,0.0,0.0022569855391735647,0.0,0,0
5*2*4*8*,2026-04-07 01:43:20.859169,5733.522331959899,0.0,0.0,0.0,0.05287488637033873,0.0,0,0
5*2*6*8*,2026-04-07 01:43:21.206906,501.08444844566344,0.0,0.0,0.0,0.001964312495604883,0.0,0,0
5*2*6*8*,2026-04-07 01:43:22.331801,8236.988079782826,0.0,0.0,0.0,0.06837079191798698,0.0,0,0
5*2*9*2*,2026-04-07 01:43:21.382490,3941.034427154714,0.0,0.0,0.0,0.03684061984752891,0.0,0,0
5*2*9*4*,2026-04-07 01:43:20.503509,1875.785440186686,0.0,0.0,0.0,0.0016864669965537512,0.0,0,0
5*2*9*4*,2026-04-07 01:43:22.527255,167000.0,0.0,0.0,0.0,1.2095808383233533,0.0,0,0
5*2*9*9*,2026-04-07 01:43:20.230072,1307.6046097100352,0.0,0.0,0.0,0.028660604509703463,0.0,0,0
5*3*0*4*,2026-04-07 01:43:20.859169,3259.468927719895,0.0,0.0,0.0,0.03005901768624081,0.0,0,0
5*3*1*0*,2026-04-07 01:43:20.230072,44964.11414856254,0.0,0.0,0.0,0.9855415644541704,0.0,0,0
5*3*1*0*,2026-04-07 01:43:20.503509,8972.423629943638,0.0,0.0,0.0,0.008066858824478872,0.0,0,0
5*3*1*6*,2026-04-07 01:43:20.859169,1916.11936020647,0.0,0.0,0.0,0.01767056751103483,0.0,0,0
5*3*6*2*,2026-04-07 01:43:20.230072,143.8398955226496,0.0,0.0,0.0,0.0031527407655789082,0.0,0,0
5*3*6*2*,2026-04-07 01:43:20.503509,28.7027222031311,0.0,0.0,0.0,2.580582654592605e-05,0.0,0,0
5*3*9*5*,2026-04-07 01:43:21.382490,1435.9509796016973,0.0,0.0,0.0,0.013423207824496408,0.0,0,0
5*4*0*1*,2026-04-07 01:43:21.206906,5415.433990973317,0.0,0.0,0.0,0.021229165444247123,0.0,0,0
5*4*0*6*,2026-04-07 01:43:20.230072,2730.4166740200767,0.0,0.0,0.0,0.059846372412332406,0.0,0,0
5*4*0*6*,2026-04-07 01:43:20.503509,544.8446066261886,0.0,0.0,0.0,0.0004898547710413667,0.0,0,0
5*4*1*6*,2026-04-07 01:43:21.382490,8242.87672337337,0.0,0.0,0.0,0.0770540560933602,0.0,0,0
5*4*2*2*,2026-04-07 01:43:20.230072,322.9197183347136,0.0,0.0,0.0,0.007077884451346804,0.0,0,0
5*4*2*2*,2026-04-07 01:43:21.206906,164.21371367562568,0.0,0.0,0.0,0.0006437378983189348,0.0,0,0
5*4*5*6*,2026-04-07 01:43:20.859169,363.7505782451952,0.0,0.0,0.0,0.0033545296204131403,0.0,0,0
5*4*6*0*,2026-04-07 01:43:20.701581,185000.0,0.0,0.0,0.0,1.0918918918918918,0.0,0,0
5*4*6*0*,2026-04-07 01:43:21.584027,130788.36605132025,0.0,0.0,0.0,0.5127064360334315,0.0,0,0
5*4*6*2*,2026-04-07 01:43:21.206906,1675.6231791042414,0.0,0.0,0.0,0.0065686483762358435,0.0,0,0
5*4*8*0*,2026-04-07 01:43:20.859169,351.662190448532,0.0,0.0,0.0,0.003243049784085257,0.0,0,0
5*4*8*5*,2026-04-07 01:43:21.382490,2263.218576150928,0.0,0.0,0.0,0.021156469636840553,0.0,0,0
5*5*1*2*,2026-04-07 01:43:21.967120,125000.0,0.0,0.0,0.0,1.616,0.0,0,0
5*5*1*4*,2026-04-07 01:43:20.859169,19718.68806836027,0.0,0.0,0.0,0.18184692247118217,0.0,0,0
5*5*2*3*,2026-04-07 01:43:21.009650,108000.0,0.0,0.0,0.0,1.8703703703703705,0.0,0,0
5*5*2*6*,2026-04-07 01:43:19.804337,582000.0,0.0,0.0,0.0,0.3470790378006873,0.0,0,0
5*5*2*6*,2026-04-07 01:43:20.503509,23929.483166127913,0.0,0.0,0.0,0.02151433886822731,0.0,0,0
5*5*2*9*,2026-04-07 01:43:21.206906,324.46424223630066,0.0,0.0,0.0,0.0012719396249050582,0.0,0,0
5*5*3*5*,2026-04-07 01:43:21.206906,3139.531860618999,0.0,0.0,0.0,0.01230734995526864,0.0,0,0
5*5*3*5*,2026-04-07 01:43:22.331801,51608.639206892476,0.0,0.0,0.0,0.4283754569276907,0.0,0,0
5*5*5*8*,2026-04-07 01:43:21.584027,95404.52820485536,0.0,0.0,0.0,0.37399745186944794,0.0,0,0
5*5*9*2*,2026-04-07 01:43:21.382490,127.49334838344508,0.0,0.0,0.0,0.001191802321877732,0.0,0,0
5*6*3*3*,2026-04-07 01:43:20.503509,2410.8934343340993,0.0,0.0,0.0,0.002167567847636099,0.0,0,0
5*6*3*3*,2026-04-07 01:43:21.788199,864.9785331418361,0.0,0.0,0.0,0.007272660299465178,0.0,0,0
5*6*9*3*,2026-04-07 01:43:21.584027,807.1057438243536,0.0,0.0,0.0,0.003163953506812075,0.0,0,0
5*7*0*9*,2026-04-07 01:43:21.206906,6433.570503255298,0.0,0.0,0.0,0.02522038544620641,0.0,0,0
5*7*2*7*,2026-04-07 01:43:21.206906,190398.9085110368,0.0,0.0,0.0,0.7463870736717079,0.0,0,0
5*7*4*2*,2026-04-07 01:43:21.382490,205.3777311940536,0.0,0.0,0.0,0.0019198621732240656,0.0,0,0
5*7*6*0*,2026-04-07 01:43:21.382490,112092.38893816013,0.0,0.0,0.0,1.0478348172293186,0.0,0,0
5*7*7*0*,2026-04-07 01:43:20.859169,162.20418534438522,0.0,0.0,0.0,0.0014958567129093232,0.0,0,0
5*7*8*1*,2026-04-07 01:43:21.206906,2699.79062525678,0.0,0.0,0.0,0.01058351037865803,0.0,0,0
5*7*8*7*,2026-04-07 01:43:21.382490,5337.111989034904,0.0,0.0,0.0,0.04989109268291223,0.0,0,0
5*7*8*9*,2026-04-07 01:43:20.503509,28629.224301989027,0.0,0.0,0.0,0.025739746608457438,0.0,0,0
5*7*8*9*,2026-04-07 01:43:21.788199,10271.57156308025,0.0,0.0,0.0,0.08636243312142394,0.0,0,0
5*7*9*7*,2026-04-07 01:43:21.206906,5849.402761059431,0.0,0.0,0.0,0.022930376248986105,0.0,0,0
5*7*9*7*,2026-04-07 01:43:22.331801,96154.37271332466,0.0,0.0,0.0,0.798125546026117,0.0,0,0
5*8*2*0*,2026-04-07 01:43:20.859169,365.0693114593796,0.0,0.0,0.0,0.0033666910571034823,0.0,0,0
5*8*2*2*,2026-04-07 01:43:20.503509,2175.1186585453643,0.0,0.0,0.0,0.0019555892441834627,0.0,0,0
5*8*2*8*,2026-04-07 01:43:21.382490,7010.779650084647,0.0,0.0,0.0,0.06553646579282238,0.0,0,0
5*8*4*8*,2026-04-07 01:43:20.859169,8713.529712707728,0.0,0.0,0.0,0.0803566929312893,0.0,0,0
5*8*6*9*,2026-04-07 01:43:20.230072,2112.3625646365344,0.0,0.0,0.0,0.0462996135044032,0.0,0,0
5*9*3*5*,2026-04-07 01:43:21.206906,1283.2104152595707,0.0,0.0,0.0,0.0050303422127817975,0.0,0,0
5*9*7*1*,2026-04-07 01:43:22.162413,83807.11786424044,0.0,0.0,0.0,2.137234920916118,0.0,0,0
5*9*7*3*,2026-04-07 01:43:20.230072,66.7525545770592,0.0,0.0,0.0,0.0014631093776655772,0.0,0,0
5*9*9*2*,2026-04-07 01:43:20.859169,103426.70746621303,0.0,0.0,0.0,0.9538072912789914,0.0,0,0
