"가맹점블록코드(BLCK_CD)","외국인관광업종코드(SF_UPJONG_CD)","기준년월(TS_YM)","일별(TS_YMD)","시간대구간(TM_CD)","카드이용금액계(AMT_CORR)","카드이용건수(USECT_CORR)"
"358632","SF020816","202104","20210401","T5",14200,17.86
"20455","SF020816","202007","20200714","T5",1600,1
"18875","SF082044","201802","20180204","T6",26800,3
"207925","SF051330","201805","20180502","T3",133610,1
"24568","SF041224","201807","20180728","T6",3500,3
"192958","SF020713","202102","20210211","T4",9000,2
"107009","SF020713","201701","20170123","T6",5000,1
"27826","SF020816","201712","20171215","T2",230958.46,1
"206774","SF010101","201904","20190410","T3",46000,1
"343434","SF010408","201808","20180820","T5",25000,3
"162812","SF020816","201802","20180215","T4",4000,2
"502544","SF020816","202103","20210303","T4",38000,1
"30649","SF020816","201803","20180305","T4",2400,1
"226318","SF020713","202005","20200528","T5",9500,1
"353609","SF010305","201710","20171017","T5",3361986.01,5.71
"18740","SF020816","202104","20210404","T4",32500,2
"419808","SF041121","202007","20200731","T6",14000,1
"216554","SF112555","201705","20170531","T6",2980,1
"332287","SF010101","201807","20180708","T2",37000,1
"23501","SF051330","201703","20170310","T3",8810,1
"269079","SF020612","201703","20170329","T6",37600,1
"351661","SF010408","201702","20170226","T5",89325.88,1
"11636","SF010101","201910","20191003","T5",18400,2.86
"206666","SF031020","202106","20210623","T4",149500,1
"194727","SF020816","201701","20170109","T4",7000,2.86
"221407","SF010305","201912","20191210","T5",51690,2
"216582","SF041121","201903","20190319","T6",185460,8.86
"231872","SF031020","201809","20180906","T1",3900,1
"192788","SF010408","202012","20201228","T4",3700,2.86
"33586","SF020713","201710","20171025","T3",24000,1
"23748","SF082148","201702","20170223","T6",14800,1
"230374","SF010203","201701","20170101","T5",1800,2
"361786","SF020816","201907","20190723","T4",6600,2
"228593","SF020713","201712","20171231","T3",10300,1
"209815","SF010408","201912","20191209","T4",6000,2
"11603","SF041121","201811","20181128","T4",2500,1
"414075","SF082044","202001","20200106","T4",7320,2.86
"210803","SF010306","201901","20190120","T5",5400,1
"355358","SF010306","201807","20180708","T5",2000,1
"50662","SF031020","201702","20170220","T4",4984000,2
"225122","SF010408","202105","20210519","T1",99000,1
"269015","SF010408","201804","20180416","T5",22100,1
"195622","SF031020","201706","20170607","T5",15000,1
"418558","SF010408","202101","20210115","T5",2400,1
"221351","SF071943","201805","20180522","T5",16050,1
"353143","SF010101","202007","20200729","T1",4200,2
"230914","SF041121","202010","20201009","T6",41720,3
"226316","SF010408","201905","20190531","T3",46000,1
"199776","SF020816","201702","20170211","T3",89640,1
"20547","SF041121","201701","20170126","T3",20000,1
"223584","SF010203","202105","20210522","T3",15800,1
"225412","SF020816","201909","20190901","T5",20300,2
"8238","SF010408","202104","20210407","T4",36100,1
"30053","SF051330","201908","20190806","T6",339000,2.86
"151717","SF020713","201805","20180524","T4",11000,2
"222264","SF010408","202005","20200519","T1",6925210,1
"502139","SF010101","201801","20180114","T2",1500,1
"29434","SF010307","201902","20190228","T6",950,1
"417075","SF061740","202106","20210606","T4",268960,1
"33072","SF020713","201901","20190105","T4",35000,1
"271093","SF061536","202106","20210612","T3",4800,1
"211877","SF010408","201812","20181219","T4",10500,1
"416256","SF020713","202006","20200620","T5",22573.33,1
"206700","SF010408","202005","20200501","T2",4200,1
"200960","SF020816","202001","20200114","T5",34612.65,1
"223825","SF010408","202002","20200210","T3",92186.51,1
"225198","SF010101","201703","20170310","T3",3500,1
"197734","SF010408","202103","20210318","T3",124000,1
"422411","SF051328","201706","20170607","T5",17000,1
"223615","SF020816","201801","20180117","T6",3000,2
"23776","SF010306","202104","20210424","T5",2950,2
"153597","SF041121","201910","20191026","T3",52800,1
"22865","SF061535","201909","20190912","T5",27500,1
"170226","SF010305","201802","20180223","T3",6850,2
"33667","SF020816","201912","20191210","T3",54000,1
"218176","SF082045","201804","20180427","T5",100000,1
"421588","SF082044","201806","20180624","T5",6800,1
"33631","SF010101","201802","20180214","T4",2500,1
"206799","SF082045","201811","20181112","T5",6700,1
"23892","SF010203","201906","20190617","T4",10790,1
"355358","SF010305","202007","20200722","T4",4000,2
"270459","SF020816","202012","20201204","T4",8300,1
"209125","SF010101","201801","20180112","T3",1300000,2
"24568","SF020713","201911","20191129","T5",314000,1
"225111","SF010305","202101","20210114","T3",39000,1
"200020","SF020713","202103","20210314","T2",15500,1
"269784","SF010408","202010","20201008","T5",102000,1
"230772","SF082045","201802","20180224","T6",400000,4
"283234","SF041121","201706","20170627","T4",150000,1
"355433","SF020816","202106","20210602","T5",3000,3
"354911","SF020816","201904","20190406","T3",8090,4.86
"277651","SF010408","201812","20181225","T4",52020,1
"414810","SF010101","201711","20171120","T3",18000,1
"227805","SF010408","201712","20171224","T5",700000,2
"225670","SF010101","201708","20170823","T5",28900,1
"24389","SF082148","201805","20180524","T4",30000,8
"192862","SF020816","202011","20201102","T6",3500,1
"418901","SF031020","201901","20190109","T3",32020,1
"8364","SF010202","201701","20170115","T4",9900,1
"421271","SF071841","201804","20180409","T5",45520,6
"211080","SF010408","201910","20191004","T4",3000,2
"226588","SF020816","201909","20190928","T4",12800,1
"217559","SF020816","202011","20201128","T5",218318.26,1
"210213","SF010204","201702","20170215","T5",7177087.76,1
"353194","SF051330","202007","20200709","T4",12500,1
"418942","SF082044","201806","20180610","T4",61750,1
"10173","SF071943","201910","20191024","T5",37100,1
"171890","SF010408","201706","20170630","T4",35000,1
"282848","SF031020","201907","20190716","T5",590700,2
"33216","SF092351","202008","20200813","T4",6250,1
"269766","SF020816","201805","20180508","T3",5900,2
"50535","SF010101","201711","20171109","T1",14800,1
"265614","SF071943","201811","20181102","T4",3500,2
"232186","SF020713","202102","20210221","T3",18300,1
"361277","SF082045","201808","20180811","T5",110000,2
"207883","SF020816","201808","20180805","T2",10000,1
"213421","SF010408","201704","20170408","T2",8200,2
"501500","SF082044","202011","20201113","T4",11400,1
"338409","SF010408","201910","20191015","T6",33000,15
"208112","SF061536","201905","20190502","T3",1443849.71,1
"352925","SF020715","202009","20200907","T4",10700,1
"213418","SF010408","202105","20210514","T6",124700,2
"207163","SF071943","202005","20200526","T5",9500,3
"221421","SF092351","201708","20170820","T4",2000,2
"417498","SF010408","201911","20191114","T2",34090.33,1
"208636","SF010306","201809","20180911","T3",22900,1
"202897","SF010204","202003","20200311","T3",5800,2
"228430","SF010203","201806","20180607","T3",8800,1
"216795","SF010202","201801","20180130","T5",18500,1
"23799","SF010101","201911","20191125","T2",50000,1
"13440","SF082045","202012","20201226","T3",40000,1
"361274","SF071841","202006","20200630","T3",5100,1
"22745","SF020715","202008","20200826","T4",29022.85,1
"27643","SF020816","201911","20191112","T2",5200,1
"28375","SF020816","201712","20171205","T3",7300,1
"362853","SF010203","201906","20190619","T3",2900,2.86
"231081","SF051330","201712","20171231","T5",2000,2
"33242","SF020816","202010","20201009","T2",320000,1
"225417","SF020816","201908","20190808","T5",288385.78,1
"166145","SF010101","201805","20180527","T4",14500,2
"349873","SF071841","201808","20180812","T3",12000,1
"197455","SF010101","202003","20200302","T4",3500,2
"353371","SF020816","202009","20200920","T4",16330,1
"355358","SF082148","201910","20191025","T4",1600,1
"215900","SF020816","201811","20181121","T6",69500,1
"361610","SF010408","201805","20180502","T3",4400,12
"208471","SF010101","201805","20180530","T4",85225.83,1
"215899","SF020816","201911","20191105","T3",12550,1
"343802","SF020816","202007","20200723","T3",2500,1
"421655","SF010408","201902","20190225","T4",2500,2
"206736","SF010408","202006","20200615","T5",7000,1
"179620","SF020713","201710","20171022","T4",9000,1
"362149","SF010101","201708","20170815","T5",7500,1
"24423","SF051330","201901","20190106","T3",69839.11,1
"223513","SF020713","201809","20180912","T2",146791.4,1
"201126","SF010307","201712","20171227","T4",13500,1
"206830","SF010408","201912","20191217","T3",9900,1
"221363","SF010408","201907","20190731","T5",2000,1
"343137","SF061535","202002","20200202","T5",24000,1
"343794","SF051331","201709","20170916","T5",4500,1
"223603","SF041121","201911","20191103","T5",68200,1
"339312","SF010202","202003","20200304","T3",6900,1
"212966","SF010203","202107","20210728","T4",40600,1
"269170","SF020816","202011","20201102","T6",89000,2
"225183","SF010305","201804","20180415","T2",23500,2
"351275","SF020816","202008","20200803","T4",25000,1
"266569","SF010101","202001","20200113","T4",1783600,1
"361276","SF041121","201908","20190805","T2",3900,1
"270896","SF020816","201909","20190922","T5",27000,1
"207029","SF010408","201812","20181230","T1",1800,1
"363905","SF010408","202101","20210131","T3",9000,2
"346469","SF010202","201901","20190117","T3",34000,1
"270896","SF020816","201807","20180709","T6",45700,1
"223744","SF020816","202005","20200529","T3",35000,2
"419031","SF061639","201811","20181114","T3",30000,1
"421655","SF010305","202007","20200727","T4",2000,2
"353609","SF020713","202006","20200624","T3",23300,1
"275122","SF010203","201812","20181228","T6",8720,1
"223598","SF020816","201905","20190524","T3",5800,1
"125136","SF041222","201810","20181029","T3",12700,1
"225269","SF092352","201904","20190402","T1",46068.02,1
"206830","SF010306","202004","20200417","T4",14000,1
"11015","SF010408","201905","20190506","T3",3500,1
"223598","SF082045","201902","20190211","T3",52000,1
"171470","SF020816","202103","20210325","T5",24000,5.71
"215920","SF082148","201906","20190611","T4",40800,2.86
"153597","SF031020","201701","20170125","T4",16900,1
"208613","SF020816","202005","20200522","T4",12800,1
"226895","SF020612","202102","20210215","T5",3900,1
"206789","SF082148","201904","20190421","T4",17800,1
"153037","SF010101","202001","20200121","T3",14000,3
"502147","SF061535","201909","20190906","T5",66798.62,2
"155378","SF031020","201903","20190308","T4",5300,8
"206742","SF020816","202003","20200329","T3",5100,1
"366315","SF010203","202008","20200828","T4",1900,2
"24646","SF010101","202107","20210708","T3",3150,1
"206729","SF082148","202011","20201116","T3",246500,1
"197455","SF041121","202102","20210216","T3",7500,2
"24557","SF041224","201903","20190303","T4",12500,1
"206933","SF010306","201811","20181112","T1",5500,1
"222264","SF010101","201804","20180402","T3",17000,1
"221529","SF061536","201709","20170907","T4",5000,1
"22734","SF031020","201810","20181005","T6",110563.24,1
"206964","SF020816","202006","20200628","T6",5200,1
"209644","SF082045","201707","20170702","T2",4000,1
"24495","SF010408","201701","20170101","T6",4500,1
"213100","SF010203","201705","20170528","T3",96000,3
"24389","SF010408","201907","20190727","T5",11000,1
"221855","SF010203","202007","20200708","T5",4000,2
"225423","SF020816","201806","20180625","T6",2800,1
"222316","SF020816","201708","20170821","T5",8720,5.86
"223002","SF071841","201710","20171024","T5",19373737.06,1
"30944","SF020612","201905","20190504","T5",29120,1
"218687","SF010305","201905","20190526","T6",31720,1
"206682","SF051330","202008","20200805","T2",6500,1
"18064","SF082044","202106","20210622","T5",152000,1
"230317","SF010307","201810","20181023","T3",27640.81,2
"225224","SF010408","201901","20190123","T1",10400,1
"282163","SF010203","202005","20200523","T4",150000,1
"32100","SF010101","201707","20170713","T4",28562.17,1
"163641","SF041121","201802","20180218","T5",52000,1
"353912","SF020816","202103","20210327","T4",7200,3
"275225","SF010204","201705","20170524","T5",17000,2
"209187","SF020713","201710","20171008","T4",49000,2
"153771","SF010101","201910","20191001","T2",22200,1
"208294","SF010203","201907","20190727","T3",69000,1
"207132","SF041222","201811","20181102","T5",15000,8
"10072","SF071943","202008","20200824","T5",420000,1
"210556","SF082044","202005","20200504","T2",9000,1
"231328","SF020816","202009","20200902","T4",148000,1
"343826","SF082045","201902","20190201","T2",45000,1
"420199","SF041121","201711","20171110","T3",54000,1
"64088","SF010101","201705","20170522","T5",45000,1
"228990","SF010203","201705","20170512","T6",1000,1
"225378","SF010408","201901","20190106","T3",37000,1
"154322","SF031019","201803","20180312","T2",16000,1
"414285","SF010101","201805","20180519","T4",5000,2
"206265","SF082148","201908","20190825","T3",139800,1
"416431","SF020713","202105","20210518","T3",41000,1
"225783","SF010306","201906","20190611","T3",48000,1
"218667","SF010203","201802","20180207","T4",13700,1
"223481","SF010305","201803","20180302","T5",1967022.37,1
"270459","SF031020","202103","20210327","T6",10000,1
"210817","SF010408","202009","20200924","T6",16000,4
"208770","SF082148","201905","20190506","T5",7600,2
"415717","SF010203","201710","20171003","T6",23700,1
"32531","SF082148","201908","20190807","T6",59000,1
"209219","SF010306","202001","20200105","T6",5200,2
"106655","SF071841","202104","20210416","T3",10000,1
"206315","SF010204","201904","20190404","T4",19200,1
"222264","SF020816","202011","20201122","T3",73000,3
"366925","SF010408","201704","20170416","T5",11500,1
"220130","SF010202","202102","20210227","T4",2500,1
"219506","SF010408","201708","20170810","T5",37400,1
"230132","SF010305","202001","20200108","T4",4990,1
"33586","SF020713","202012","20201214","T2",29050,1
"200635","SF020816","201810","20181017","T3",13000,1
"66783","SF020612","201703","20170311","T6",260000,1
"231328","SF010408","202004","20200424","T6",71752.5,1
"225412","SF041222","201810","20181007","T2",32450,1
"350504","SF092352","201701","20170128","T4",132283.64,1
"210523","SF010408","202004","20200403","T4",15500,1
"223848","SF010101","201710","20171016","T3",1000000,1
"225453","SF010408","201709","20170911","T6",22900,1
"231844","SF010306","202107","20210722","T4",5000,1
"223615","SF082045","202006","20200607","T4",31000,1
"191088","SF010305","201807","20180730","T5",55300,2
"355358","SF020816","201901","20190130","T4",10800,2
"215698","SF020713","201803","20180302","T3",207306.07,1
"413463","SF041222","202102","20210212","T4",71000,2
"206638","SF020816","202103","20210304","T4",17300,1
"206747","SF010408","201703","20170325","T6",4000,1
"201585","SF010408","202006","20200605","T5",604110,1
"269046","SF020816","201710","20171007","T1",6900,2
"29886","SF010101","201705","20170528","T6",2500,1
"206522","SF010408","201707","20170722","T2",10700,1
"501958","SF010305","201708","20170820","T5",207737.1,2
"31971","SF051330","202005","20200520","T1",5200,3
"24361","SF020816","202003","20200315","T4",330000,1
"225648","SF020713","202001","20200128","T4",49650,2
"207125","SF020816","202005","20200508","T5",8000,2
"215725","SF020816","201705","20170510","T5",1900,1
"17127","SF061536","201910","20191007","T4",4900,2
"23776","SF031020","202105","20210514","T2",175000,1
"418205","SF010305","201712","20171222","T6",87000,1
"209212","SF041224","201812","20181208","T4",3000,4
"229513","SF031020","201811","20181129","T3",14281.08,1
"226980","SF010202","201810","20181029","T3",11675630.65,1
"207083","SF020816","202012","20201205","T5",14741.76,1
"79670","SF010204","201708","20170801","T4",33000,1
"223333","SF041121","202001","20200114","T3",88000,1
"195423","SF020713","202003","20200305","T4",138204.05,1
"209213","SF020816","201805","20180512","T2",5000,1
"208333","SF051434","202007","20200710","T5",22400,2
"16606","SF051432","201804","20180424","T5",27000,2
"24371","SF020816","201910","20191013","T3",4000,2.86
"209386","SF010305","201711","20171121","T4",25300,3
"13696","SF061536","201804","20180423","T5",10900,1
"156664","SF082045","202103","20210307","T1",25100,1
"224773","SF010101","201908","20190805","T3",32247.61,1
"358983","SF082148","202105","20210528","T6",12900,2
"206986","SF010408","201909","20190912","T4",1417200,2
"360744","SF031020","201901","20190118","T2",32750,1
"206748","SF010101","201801","20180108","T3",30600,1
"225571","SF020816","201812","20181228","T5",141000,1
"231107","SF010101","201804","20180403","T5",35000,1
"5507","SF020816","201806","20180630","T1",9000,1
"27094","SF051330","201802","20180212","T5",38500,3
"337149","SF020612","201805","20180504","T3",134784,3
"270459","SF041121","202010","20201016","T5",12000,1
"500591","SF010408","201701","20170122","T5",648000,1
"192894","SF041222","201912","20191219","T5",24000,2
"413982","SF010101","201806","20180605","T5",3400,2
"349863","SF041222","202107","20210701","T5",29000,1
"221353","SF010101","201709","20170907","T5",8520,1
"228337","SF010408","202001","20200120","T1",45900,1
"24353","SF010306","202002","20200221","T5",380000,1
"207144","SF010101","201804","20180429","T3",500,1
"18064","SF010408","202008","20200824","T3",60000,1
"199041","SF010509","201907","20190714","T5",180600,1
"350553","SF082045","201907","20190713","T5",16000,1
"223612","SF010203","202007","20200729","T2",3500,1
"361237","SF010305","201908","20190824","T2",17000,1
"209902","SF051325","201910","20191007","T3",2550000,1
"23761","SF010203","202005","20200507","T3",14000,1
"274613","SF082045","202105","20210501","T4",8000,2
"226370","SF020713","201706","20170628","T3",17500,2.86
"16552","SF031020","202008","20200815","T5",88280,8.57
"20555","SF020713","202105","20210518","T1",10000,1
"206799","SF010408","201703","20170312","T5",30000,1
"152029","SF051432","201805","20180506","T6",156015,1
"19937","SF010408","201904","20190414","T6",2000,1
"206623","SF010408","202011","20201102","T4",12800,1
"418914","SF010101","201803","20180330","T2",29000,1
"213427","SF020713","201909","20190929","T4",46500,3
"22980","SF051325","202104","20210417","T5",152024.45,1
"24484","SF010408","201812","20181231","T4",8100,1
"15412","SF051328","201803","20180323","T1",25270,1
"28198","SF071943","202102","20210215","T5",8000,1
"361274","SF020816","202107","20210708","T6",6800,1
"210816","SF051329","201707","20170719","T3",243285.19,1
"502147","SF010305","201901","20190129","T4",181500,2.86
"23500","SF010408","201902","20190213","T5",3500,1
"225406","SF041121","202008","20200819","T4",65000,58
"21690","SF010101","201911","20191123","T3",22200,1
"222845","SF082148","202101","20210129","T5",96000,1
"31624","SF020816","201806","20180619","T5",13000,1
"208488","SF071841","201810","20181009","T5",18800,1
"20819","SF112555","201905","20190511","T5",161238.05,1
"223825","SF010408","202001","20200110","T5",13750,1
"225411","SF051330","201911","20191129","T2",3000,2
"222735","SF082045","201902","20190202","T5",6879680,1
"358267","SF010204","201812","20181203","T5",3200,1
"206477","SF010101","201903","20190322","T2",31000,1
"224964","SF010408","201702","20170201","T3",133000,1
"272591","SF112555","201910","20191004","T4",3200,4
"349828","SF010101","202010","20201021","T5",59950,1
"18599","SF010305","201903","20190317","T3",16000,4
"8667","SF020713","201911","20191111","T5",24000,1
"24649","SF082047","201901","20190110","T3",27640.81,1
"20476","SF020816","201712","20171230","T3",6800,1
"209224","SF010408","201702","20170216","T5",82600,1
"182942","SF020816","201911","20191106","T5",80000,3
"220064","SF031020","202005","20200515","T5",9500,2.86
"1311","SF020816","202001","20200104","T5",145000,2
"414001","SF010202","201812","20181228","T5",50000,4
"365065","SF020713","201711","20171127","T4",111500,1
"23865","SF020816","201710","20171028","T2",35000,1
"24438","SF020917","201704","20170429","T2",208586.82,2
"208305","SF010203","201909","20190914","T6",32000,1
"414069","SF020816","201710","20171022","T4",48599.47,2
"206476","SF082047","201704","20170423","T5",39000,1
"154322","SF010408","202103","20210306","T4",90900,1
"33564","SF082148","202012","20201225","T1",36719.45,1
"353371","SF020816","201712","20171221","T2",36000,6
"24571","SF020816","201903","20190313","T2",8000,2
"413393","SF082046","201702","20170209","T1",4000,1
"206799","SF010305","202005","20200516","T5",3400,1
"24544","SF010408","201808","20180816","T3",308655.7,1
"227251","SF020816","202105","20210523","T4",594000,12
"28416","SF071943","201809","20180905","T3",29670,3
"342399","SF010203","201901","20190130","T5",9800,2
"192809","SF010408","201911","20191116","T5",11400,1
"207261","SF102453","202012","20201213","T4",34500,2
"157348","SF020816","201701","20170117","T6",1000,1
"343669","SF020816","201708","20170808","T3",6500,1
"366984","SF010307","202006","20200605","T4",41000,1
"215736","SF010101","201909","20190914","T3",60000,1
"225400","SF010408","202001","20200101","T2",7900,1
"226176","SF010408","202106","20210610","T4",90000,1
"223538","SF010307","201711","20171102","T6",101300,2
"221610","SF041222","201802","20180214","T6",5500,21.42
"179486","SF010305","201703","20170319","T6",6000,2
"206728","SF051432","201806","20180604","T3",32420,1
"221422","SF082045","202107","20210719","T4",23400,1
"24452","SF010101","201907","20190717","T3",50000,2
"211882","SF020816","201901","20190129","T2",9000,1
"230114","SF010408","201902","20190214","T6",100000,2.86
"228607","SF010101","202102","20210203","T5",51000,4
"225761","SF061536","201710","20171027","T5",60000,1
"218737","SF020816","201806","20180603","T3",26000,1
"225082","SF010307","201808","20180802","T6",5300,1
"209537","SF010101","201910","20191026","T3",2000,3
"212072","SF010305","201909","20190928","T1",45000,1
"223538","SF010101","201909","20190917","T6",8800,1
"365353","SF020816","202101","20210124","T5",71400,1
"231691","SF010101","201808","20180827","T6",6500,1
"207775","SF010203","201805","20180526","T5",7500,1
"225800","SF071841","202009","20200907","T6",220000,1
"32384","SF051325","201703","20170321","T3",33000,1
"17972","SF020713","201706","20170628","T3",77000,2
"353333","SF082148","201902","20190206","T4",59800,1
"270046","SF010101","201901","20190102","T5",350100,1
"23464","SF020816","201702","20170204","T5",8000,1
"33669","SF010408","201704","20170427","T3",12000,2
"20562","SF051329","201806","20180608","T1",23650,1
"232020","SF010306","201703","20170323","T5",6700,1
"415624","SF010101","202004","20200412","T6",121800,1
"223917","SF020816","201705","20170508","T4",18500,2.86
"192958","SF031020","201904","20190426","T6",23034.01,1
"222888","SF102454","201802","20180206","T6",13900,1
"219276","SF010408","201804","20180414","T5",950,1
"225250","SF010408","201804","20180406","T1",2800,2.86
"414823","SF031020","201910","20191028","T5",7150,8.86
"270717","SF092350","201907","20190716","T3",167400,2.86
"28416","SF020816","201901","20190116","T2",3500,3
"358796","SF010306","202101","20210102","T5",635900,1
"417146","SF051328","202008","20200816","T5",24000,1
"212310","SF020816","201906","20190607","T4",4300,1
"152543","SF082044","201905","20190514","T4",900,1
"20555","SF020715","201801","20180101","T2",8500,1
"155007","SF010101","202104","20210424","T6",7300,1
"20702","SF010203","202002","20200210","T3",14300,1
"153364","SF010101","201810","20181012","T5",8800,4
"207421","SF010408","202107","20210709","T4",156600,2
"20459","SF082148","202010","20201008","T3",14100,2
"209672","SF051328","201804","20180407","T5",68500,1
"223929","SF010408","202009","20200911","T5",5000,1
"23776","SF041121","201802","20180211","T3",122500,2
"416873","SF010408","202012","20201208","T4",19000,1
"210633","SF020713","201701","20170106","T5",21000,1
"152029","SF010408","201702","20170204","T3",35490,2
"335996","SF010203","202012","20201231","T4",48371.42,2
"225428","SF051329","201810","20181007","T2",2300,1
"420793","SF051330","201702","20170207","T5",18600,1
"270459","SF082148","202105","20210528","T5",5500,1
"211852","SF082045","202003","20200317","T4",17600,1
"225400","SF010101","201810","20181014","T6",41000,1
"365157","SF010307","202010","20201029","T3",49000,1
"152543","SF082148","201708","20170825","T6",3100,2.86
"354911","SF010101","202107","20210715","T6",3500,3.86
"154879","SF010408","201908","20190811","T5",16800,2
"353213","SF041222","202003","20200318","T6",1200,2
"360775","SF010203","201812","20181229","T4",4350,1
"210169","SF031020","201706","20170617","T5",45100,10
"24484","SF010307","201911","20191116","T3",45000,1
"199010","SF010101","202103","20210314","T5",415717.77,1
"207144","SF010101","201910","20191015","T3",143100,29.86
"223783","SF061535","201708","20170830","T5",2980,1
"223848","SF010408","201906","20190625","T3",62000,1
"271721","SF010408","201804","20180405","T6",5700,1
"23606","SF092352","202009","20200902","T4",2200,1
"225372","SF010101","201907","20190707","T3",9500,1
"66783","SF020816","201807","20180703","T2",102300,1
"21831","SF010305","201901","20190112","T3",1800,20
"206304","SF010101","202005","20200523","T2",5500,2
"421191","SF010307","202006","20200608","T4",4000,1
"24542","SF010408","201806","20180610","T5",45000,1
"14839","SF020816","201709","20170924","T4",3000,1
"23776","SF010408","201806","20180628","T6",6100,4
"209348","SF010101","201811","20181120","T5",44600,1
"27759","SF082045","201811","20181103","T3",7200,1
"354489","SF082148","201804","20180409","T4",8250,1
"26665","SF020713","201805","20180528","T3",9900,1
"24315","SF020713","202009","20200901","T6",16000,1
"31169","SF010101","201806","20180613","T4",7400,1
"23047","SF010101","201910","20191026","T5",5600,1
"215675","SF020816","202107","20210727","T5",7000,1
"148775","SF061535","201812","20181205","T5",14000,1
"227558","SF020816","202105","20210517","T6",6600,1
"158053","SF020713","202101","20210101","T4",9200,2
"218737","SF010306","202009","20200901","T5",13520,1
"225101","SF020816","201904","20190401","T5",5100,1
"355358","SF020816","202106","20210624","T2",5300,12.42
"201386","SF020713","201910","20191022","T3",5800,3.86
"20455","SF020816","201710","20171031","T3",9000,1
"211641","SF020816","202102","20210223","T4",100000,1
"156201","SF010307","201909","20190904","T3",5000,7
"20457","SF010202","201811","20181119","T1",4100,1
"24191","SF010305","201808","20180813","T6",6500,1
"225855","SF020713","201711","20171123","T6",158610,1
"225847","SF020816","201712","20171201","T3",17500,1
"31468","SF010408","201812","20181231","T4",49000,1
"414758","SF051329","202001","20200129","T3",33629.65,1
"213421","SF112555","201810","20181002","T4",34500,1
"154322","SF071943","201711","20171105","T3",690000,2
"29020","SF071943","201805","20180520","T5",7600,10
"23935","SF010203","201903","20190327","T3",49000,2
"271819","SF020713","201902","20190204","T3",5000,1
"229648","SF010101","201710","20171013","T3",15400,1
